Cell ID,mRNA in cytoplasm,mRNA in nucleus,Frame,Image
9,2,1,10,rep1_FOV2.tif
10,7,0,10,rep1_FOV2.tif
1,0,0,11,rep1_FOV2.tif
2,0,0,11,rep1_FOV2.tif
3,0,0,11,rep1_FOV2.tif
4,0,0,11,rep1_FOV2.tif
5,0,0,11,rep1_FOV2.tif
6,3,0,11,rep1_FOV2.tif
7,2,2,11,rep1_FOV2.tif
8,8,4,11,rep1_FOV2.tif
9,4,0,11,rep1_FOV2.tif
10,3,0,11,rep1_FOV2.tif
1,0,0,12,rep1_FOV2.tif
2,0,0,12,rep1_FOV2.tif
3,0,0,12,rep1_FOV2.tif
4,0,0,12,rep1_FOV2.tif
5,0,0,12,rep1_FOV2.tif
6,0,0,12,rep1_FOV2.tif
7,0,3,12,rep1_FOV2.tif
8,13,1,12,rep1_FOV2.tif
9,4,0,12,rep1_FOV2.tif
10,1,0,12,rep1_FOV2.tif
1,0,0,13,rep1_FOV2.tif
2,0,0,13,rep1_FOV2.tif
3,0,0,13,rep1_FOV2.tif
4,0,0,13,rep1_FOV2.tif
5,0,0,13,rep1_FOV2.tif
6,0,1,13,rep1_FOV2.tif
7,1,4,13,rep1_FOV2.tif
8,10,3,13,rep1_FOV2.tif
9,4,2,13,rep1_FOV2.tif
10,3,0,13,rep1_FOV2.tif
1,0,0,14,rep1_FOV2.tif
2,0,0,14,rep1_FOV2.tif
3,0,0,14,rep1_FOV2.tif
